CompanyName,URL,WebSales2016,MerchadiseCategory,MerchantType,DateVisited,TimeVisited,NumberofpagescapturedPDF,Product,Price_Text,TotalNumber_DeliberationFeatures,TotalNumber_ImpulseFeatures,feature_othersboughtrecommendations,feature_othersviewedrecommendations,feature_saveforlaterlist,feature_similarproductsrecommendations,feature_addonrecommendations,feature_bestseller,feature_cartcheckoutpopup,feature_discountforaddonproducts,feature_discountforautoreorder,feature_discountforemailaddress,feature_discountforfirstpurchasenotemailaccount,feature_discountpromocodenotshippingnotgifts,feature_discountedprice,feature_donationwithpurchase,feature_easycredit,feature_exclusiveprice,feature_exclusiveproduct,feature_externaladssponsoredproducts,feature_freecancellationreservations,feature_freegiftwithpurchase,feature_generalrecommendations,feature_generalwishlist,feature_helpfulnothelpfulreviewvoting,feature_interactivity,feature_internalads,feature_limitedtimediscountnoclock,feature_limitedtimediscountwcountdownclock,feature_limitedtimeproductavailabilitynoclock,feature_limitedtimeproductavailabilitywcountdownclock,feature_limitedquantityforsalenotlowstock,feature_lockindiscountnow,feature_lowstockwarning,feature_memberrewardsprogramdiscounts,feature_multipleproductpictures,feature_negativereviewhighlighted,feature_ExpeditedShipping_nextdayshipping_child,feature_numberofcustomersinterested,feature_numberofratingsreviews,feature_numbersoldor#customersbought,feature_orderdeadlineforshipping,feature_personalizationquiz,feature_personalizedrecommendations,feature_positivereviewhighlighted,feature_previewproductspecs,feature_pricealerts,feature_pricematchguarantee,feature_productcollectionforbrowsing,feature_productcomparison,feature_productQAsection,feature_quickaddtocart,feature_quickcheckout,feature_quickview,feature_ratingdistribution,feature_referraldiscount,feature_requiresaccounttocheckout,feature_salepagelist,feature_ExpeditedShipping_samedayshipping_child,feature_seeingthatfriendsknownothersbought,feature_sellingFast,feature_sharecartorproductnocounter,feature_sharecartorproductwithcounter,feature_showingrealpeopleusingproductnotmodelscelebs,feature_showsproductratingsreviews,feature_soldoutbackordered,feature_storepickup,feature_sweepstakeswithpurchase,feature_thirdpartyseal,feature_trialperiod,feature_videoanimation,feature_virtualdressingroom,feature_returnsrefunds,feature_ExpeditedShipping_PARENT,feature_discountedshippingmin,Theme_Deliberation_COUNT,Theme_AddOnBenefit_COUNT,Theme_Advertising_COUNT,Theme_Browsing_COUNT,Theme_Investment_COUNT,Theme_LowerRisk_COUNT,Theme_PerceivedScarcity_COUNT,Theme_PhysicalProximity_COUNT,Theme_ShoppingMomentum_COUNT,Theme_SocialInfluence_COUNT,Theme_TemporalProximity_COUNT,Theme_Urgency_COUNT
Bass Pro,www.basspro.com,$250M-$500M,Sporting Goods,Retail Chain,4/29/18,20:55:00,7,T-Shirt,$9.97 ,2,18,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,2,1,2,2,0,4,0,3,2,3,1,0
Jomashop.com,www.jomashop.com,$250M-$500M,Jewelry,Web Only,4/30/18,12:45:00,11,Earrings,$42.48 ,3,18,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,3,0,0,3,0,5,0,2,0,4,3,1
Northern Tool & Equipment,www.northerntool.com,$250M-$500M,Hardware/Home,Catalog/Call Center,4/28/18,17:25:00,11,Birdhouse,$12.99 ,4,18,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,4,0,0,1,0,5,2,3,1,4,1,1
O'Reilly Auto Parts,www.oreillyauto.com,$125M-$250M,Automotive,Retail Chain,4/30/18,17:50:00,7,Battery,$8.99 ,0,17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,5,2,0,1,3,2,2
MLB Advanced Media,www.mlbshop.com,$125M-$250M,Apparel/Accessories,Web Only,4/30/18,13:45:00,10,Hat,$9.99 ,0,17,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,2,0,6,0,3,1,1,1,2
Fanatics Inc.,www.fanatics.com,1 billion+,Apparel/Accessories,Web Only,4/26/18,16:00:00,14,T-Shirt,$21.99 ,0,17,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,2,0,5,2,2,1,1,1,2
Booking Group (RentalCars.com),Rentalcars.com,NA,Travel,Web Only,5/3/18,13:05:00,4,Car Rental,$23.01/d,0,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,3,1,0,1,4,2,1
CDW Corp.,www.cdw.com,1 billion+,Computers/Electronics,Catalog/Call Center,4/25/18,14:50:00,8,Pens,$1.99 ,1,17,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,5,1,2,0,5,1,1
Saatva Inc.,www.saatvamattresses.com,$125M-$250M,Housewares/Home Furnishings,Consumer Brand Manufacturer,5/1/18,13:10:00,8,Mattress,$599.00 ,1,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,3,1,3,1,6,2,0
FreshDirect LLC,www.freshdirect.com,$500M-$1billion,Food/Drug,Retail Chain,4/27/18,18:40:00,11,Coffee,$2.29 ,1,17,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,4,0,1,2,4,0,1
